id;file;file_content_type;import_date;jhi_separator
1;../fake-data/blob/hipster.png;image/png;2020-11-13T23:41:59;Metal HDD
2;../fake-data/blob/hipster.png;image/png;2020-11-14T05:46:13;Hat
3;../fake-data/blob/hipster.png;image/png;2020-11-13T22:57:16;Investor magnetic
4;../fake-data/blob/hipster.png;image/png;2020-11-13T21:00:06;Consultant backing up Music
5;../fake-data/blob/hipster.png;image/png;2020-11-13T19:31:20;Valleys Lakes
6;../fake-data/blob/hipster.png;image/png;2020-11-14T03:15:22;Illinois
7;../fake-data/blob/hipster.png;image/png;2020-11-13T22:13:56;bandwidth Ergonomic Steel Mouse
8;../fake-data/blob/hipster.png;image/png;2020-11-14T04:09:45;Shoes Forge
9;../fake-data/blob/hipster.png;image/png;2020-11-13T21:28:54;red Generic Cotton Bacon algorithm
10;../fake-data/blob/hipster.png;image/png;2020-11-13T15:21:12;Cambridgeshire Personal Loan Account
